         232641244 function calls (232621006 primitive calls) in 406.605 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.001    0.001 _codata.py:1510(parse_constants_2018toXXXX)
      622    0.001    0.000    0.005    0.000 _inspect.py:96(getargspec)
       20    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
      124    0.001    0.000    0.019    0.000 _distn_infrastructure.py:632(__init__)
      290    0.001    0.000    0.002    0.000 enum.py:88(__setitem__)
        1    0.001    0.001    0.001    0.001 _nonlin.py:556(GenericBroyden)
      116    0.001    0.000    0.086    0.001 sre_compile.py:759(compile)
      122    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1585(<setcomp>)
     2312    0.001    0.000    0.001    0.000 inspect.py:2830(<genexpr>)
     1305    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:152(__init__)
        1    0.001    0.001    0.001    0.001 helpers.py:689(<dictcomp>)
     1681    0.001    0.000    0.001    0.000 sre_parse.py:172(append)
     1329    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
      444    0.001    0.000    0.006    0.000 core.py:501(copy)
      136    0.001    0.000    0.159    0.001 __init__.py:2065(find_on_path)
     6671    0.001    0.000    0.001    0.000 inspect.py:2560(kind)
      361    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
      122    0.001    0.000    0.002    0.000 version.py:293(__str__)
      116    0.001    0.000    0.004    0.000 sre_compile.py:536(_compile_info)
      417    0.001    0.000    0.001    0.000 shape_base.py:81(atleast_2d)
     2681    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
     89/5    0.001    0.000    0.008    0.002 core.py:3677(streamline)
     2230    0.001    0.000    0.001    0.000 sre_parse.py:160(__len__)
        6    0.001    0.000    0.001    0.000 {built-in method io.open}
     2051    0.001    0.000    0.001    0.000 enum.py:670(__new__)
      244    0.001    0.000    0.002    0.000 genericpath.py:121(_splitext)
      224    0.001    0.000    0.001    0.000 typing.py:191(_collect_type_vars)
